Key-[0] | Value-[0]
Key-[202] | Value-[16453221]
Key-[203] | Value-[165]
Key-[204] | Value-[16502427]
Key-[205] | Value-[166]
Key-[206] | Value-[16636336]
Key-[207] | Value-[16636392]
Key-[208] | Value-[1666528]
Key-[209] | Value-[167]
Key-[210] | Value-[16702930]
Key-[211] | Value-[16769749]
Key-[212] | Value-[168]
Key-[213] | Value-[1681502]
Key-[214] | Value-[16826854]
Key-[215] | Value-[1684056]
Key-[216] | Value-[1685208]
Key-[217] | Value-[16889993]
Key-[218] | Value-[1689135]
Key-[219] | Value-[169]
Key-[220] | Value-[1691125]
Key-[221] | Value-[16912584]
Key-[222] | Value-[16921542]
Key-[223] | Value-[1694]
Key-[224] | Value-[1696852]
Key-[225] | Value-[17]
Key-[226] | Value-[170]
Key-[227] | Value-[1706441]
Key-[228] | Value-[171]
Key-[229] | Value-[17102358]
Key-[230] | Value-[1710464]
Key-[231] | Value-[1711219]
Key-[232] | Value-[17119638]
Key-[233] | Value-[17144285]
Key-[234] | Value-[17144694]
Key-[235] | Value-[1716281]
Key-[236] | Value-[172]
Key-[237] | Value-[17232497]
Key-[238] | Value-[1726218]
Key-[239] | Value-[17269931]
Key-[240] | Value-[1727398]
Key-[241] | Value-[173]
Key-[242] | Value-[17377163]
Key-[243] | Value-[17380259]
Key-[244] | Value-[174]
Key-[245] | Value-[17421257]
Key-[246] | Value-[17424255]
Key-[247] | Value-[1748085]
Key-[248] | Value-[175]
Key-[249] | Value-[17558208]
Key-[250] | Value-[176]
Key-[251] | Value-[1764034]
Key-[252] | Value-[17678173]
Key-[253] | Value-[17749513]
Key-[254] | Value-[178]
Key-[255] | Value-[17818]
Key-[256] | Value-[17820219]
Key-[257] | Value-[17850425]
Key-[258] | Value-[1787386]
Key-[259] | Value-[1789101]
Key-[260] | Value-[179]
Key-[261] | Value-[18]
Key-[262] | Value-[180]
Key-[263] | Value-[1806662]
Key-[264] | Value-[181]
Key-[265] | Value-[18123320]
Key-[266] | Value-[18151535]
Key-[267] | Value-[18179365]
Key-[268] | Value-[182]
Key-[269] | Value-[1826822]
Key-[270] | Value-[183]
Key-[271] | Value-[1833814]
Key-[272] | Value-[184]
Key-[273] | Value-[1843973]
Key-[274] | Value-[18441591]
Key-[275] | Value-[185]
Key-[276] | Value-[1850827]
Key-[277] | Value-[18512242]
Key-[278] | Value-[1856520]
Key-[279] | Value-[1857118]
Key-[280] | Value-[18578572]
Key-[281] | Value-[186]
Key-[282] | Value-[18641118]
Key-[283] | Value-[1866949]
Key-[284] | Value-[18684345]
Key-[285] | Value-[187]
Key-[286] | Value-[1870634]
Key-[287] | Value-[18728531]
Key-[288] | Value-[1873193]
Key-[289] | Value-[18766867]
Key-[290] | Value-[188]
Key-[291] | Value-[1881149]
Key-[292] | Value-[1882294]
Key-[293] | Value-[18836427]
Key-[294] | Value-[18887402]
Key-[295] | Value-[1888834]
Key-[296] | Value-[1890794]
Key-[297] | Value-[1893561]
Key-[298] | Value-[1893574]
Key-[299] | Value-[18956432]
Key-[300] | Value-[1898975]
Key-[301] | Value-[19]
Key-[302] | Value-[190]
Key-[303] | Value-[1905966]
Key-[304] | Value-[1907973]
Key-[305] | Value-[19160470]
Key-[306] | Value-[192]
Key-[307] | Value-[19204251]
Key-[308] | Value-[1928763]
Key-[309] | Value-[1929405]
Key-[310] | Value-[1929729]
Key-[311] | Value-[193]
Key-[312] | Value-[1935179]
Key-[313] | Value-[19368667]
Key-[314] | Value-[194]
Key-[315] | Value-[19445290]
Key-[316] | Value-[1949821]
Key-[317] | Value-[195]
Key-[318] | Value-[1951303]
Key-[319] | Value-[196]
Key-[320] | Value-[1961]
Key-[321] | Value-[1965218]
Key-[322] | Value-[1965910]
Key-[323] | Value-[197]
Key-[324] | Value-[1970-02-10]
Key-[325] | Value-[1970-02-15]
Key-[326] | Value-[1970-03-17]
Key-[327] | Value-[1970-05-18]
Key-[328] | Value-[1970-06-02]
Key-[329] | Value-[1970-06-16]
Key-[330] | Value-[1970-06-19]
Key-[331] | Value-[1970-06-24]
Key-[332] | Value-[1970-06-25]
Key-[333] | Value-[1970-08-14]
Key-[334] | Value-[1970-10-10]
Key-[335] | Value-[1970-12-27]
Key-[336] | Value-[1971-02-18]
Key-[337] | Value-[1971-03-27]
Key-[338] | Value-[1971-04-03]
Key-[339] | Value-[1971-07-09]
Key-[340] | Value-[1971-09-19]
Key-[341] | Value-[1971-10-16]
Key-[342] | Value-[1971-11-05]
Key-[343] | Value-[1971-11-08]
Key-[344] | Value-[1971-11-22]
Key-[345] | Value-[1972-04-02]
Key-[346] | Value-[1972-05-17]
Key-[347] | Value-[1972-10-31]
Key-[348] | Value-[1972-11-24]
Key-[349] | Value-[1973-03-16]
Key-[350] | Value-[1973-04-01]
Key-[351] | Value-[1973-04-07]
Key-[352] | Value-[1973-04-08]
Key-[353] | Value-[1973-05-09]
Key-[354] | Value-[1973-05-29]
Key-[355] | Value-[1973-06-17]
Key-[356] | Value-[1973-06-25]
Key-[357] | Value-[1973-10-05]
Key-[358] | Value-[1973-10-31]
Key-[359] | Value-[1973-12-02]
Key-[360] | Value-[1974]
Key-[361] | Value-[1974-03-27]
Key-[362] | Value-[1974-04-21]
Key-[363] | Value-[1974-08-31]
Key-[364] | Value-[1974-09-28]
Key-[365] | Value-[1974-10-03]
Key-[366] | Value-[1974-10-23]
Key-[367] | Value-[1974-10-31]
Key-[368] | Value-[1975-01-19]
Key-[369] | Value-[1975-02-04]
Key-[370] | Value-[1975-05-10]
Key-[371] | Value-[1975-06-25]
Key-[372] | Value-[1975-06-27]
Key-[373] | Value-[1975-07-07]
Key-[374] | Value-[1975-07-12]
Key-[375] | Value-[1975-08-24]
Key-[376] | Value-[1975-09-28]
Key-[377] | Value-[1975-09-29]
Key-[378] | Value-[19758136]
Key-[379] | Value-[1976-04-02]
Key-[380] | Value-[1976-05-13]
Key-[381] | Value-[1976-07-29]
Key-[382] | Value-[1976-08-31]
Key-[383] | Value-[1976-09-30]
Key-[384] | Value-[1976-11-23]
Key-[385] | Value-[1977-03-13]
Key-[386] | Value-[1977-04-06]
Key-[387] | Value-[1978-02-22]
Key-[388] | Value-[1978-04-27]
Key-[389] | Value-[1978-07-08]
Key-[390] | Value-[1978-07-09]
Key-[391] | Value-[1978-09-18]
Key-[392] | Value-[1978-10-29]
Key-[393] | Value-[1978-12-01]
Key-[394] | Value-[1978785]
Key-[395] | Value-[1979-01-25]
Key-[396] | Value-[1979-04-22]
Key-[397] | Value-[1979-07-01]
Key-[398] | Value-[1979-07-02]
Key-[399] | Value-[1979-08-25]
Key-[400] | Value-[1979-10-13]
Key-[401] | Value-[1979-11-08]
Key-[402] | Value-[198]
Key-[403] | Value-[1980-07-12]
Key-[404] | Value-[1980-12-03]
Key-[405] | Value-[19808905]
Key-[406] | Value-[1981-05-03]
Key-[407] | Value-[1981-07-17]
Key-[408] | Value-[1981-09-03]
Key-[409] | Value-[1981-09-07]
Key-[410] | Value-[1982-04-23]
Key-[411] | Value-[1982-05-30]
Key-[412] | Value-[1982-07-28]
Key-[413] | Value-[1982-07-31]
Key-[414] | Value-[1982-10-15]
Key-[415] | Value-[1983-02-25]
Key-[416] | Value-[1983-03-18]
Key-[417] | Value-[1983-03-19]
Key-[418] | Value-[1983-03-29]
Key-[419] | Value-[1983-06-14]
Key-[420] | Value-[1983-06-26]
Key-[421] | Value-[1983-09-24]
Key-[422] | Value-[1983-09-25]
Key-[423] | Value-[1983-11-15]
Key-[424] | Value-[1983-12-07]
Key-[425] | Value-[1984-01-17]
Key-[426] | Value-[1984-01-20]
Key-[427] | Value-[1984-02-01]
Key-[428] | Value-[1984-02-27]
Key-[429] | Value-[1984-04-06]
Key-[430] | Value-[1984-06-16]
Key-[431] | Value-[1984-07-08]
Key-[432] | Value-[1984-07-27]
Key-[433] | Value-[1984-08-29]
Key-[434] | Value-[1984-09-09]
Key-[435] | Value-[1984-10-08]
Key-[436] | Value-[1984-12-23]
Key-[437] | Value-[1984077]
Key-[438] | Value-[1985-05-16]
Key-[439] | Value-[1985-06-04]
Key-[440] | Value-[1985-06-10]
Key-[441] | Value-[1985-07-08]
Key-[442] | Value-[1985-09-03]
Key-[443] | Value-[1986-01-06]
Key-[444] | Value-[1986-01-14]
Key-[445] | Value-[1986-03-22]
Key-[446] | Value-[1986-03-25]
Key-[447] | Value-[1986-05-06]
Key-[448] | Value-[1986-06-14]
Key-[449] | Value-[1986-10-09]
Key-[450] | Value-[1986-12-19]
Key-[451] | Value-[1986-12-27]
Key-[452] | Value-[1987-01-26]
Key-[453] | Value-[1987-03-02]
Key-[454] | Value-[1987-03-20]
Key-[455] | Value-[1987-08-04]
Key-[456] | Value-[1987-10-02]
Key-[457] | Value-[1987-10-21]
Key-[458] | Value-[1987-12-11]
Key-[459] | Value-[1988-03-11]
Key-[460] | Value-[1988-05-30]
Key-[461] | Value-[1988-06-27]
Key-[462] | Value-[1988-09-24]
Key-[463] | Value-[1988-10-27]
Key-[464] | Value-[1988-11-23]
Key-[465] | Value-[1989-02-02]
Key-[466] | Value-[1989-04-18]
Key-[467] | Value-[1989-04-22]
Key-[468] | Value-[1989-05-11]
Key-[469] | Value-[1989-05-28]
Key-[470] | Value-[1989-06-04]
Key-[471] | Value-[1989-06-06]
Key-[472] | Value-[1989-06-15]
Key-[473] | Value-[1989-12-09]
Key-[474] | Value-[1989-12-11]
Key-[475] | Value-[199]
Key-[476] | Value-[1990-02-13]
Key-[477] | Value-[1990-02-14]
Key-[478] | Value-[1990-04-30]
Key-[479] | Value-[1990-06-13]
Key-[480] | Value-[1990-07-11]
Key-[481] | Value-[1990-08-26]
Key-[482] | Value-[1990-11-05]
Key-[483] | Value-[1990-12-16]
Key-[484] | Value-[1990561]
Key-[485] | Value-[1990768]
Key-[486] | Value-[1991-01-19]
Key-[487] | Value-[1991-05-28]
Key-[488] | Value-[1991-06-24]
Key-[489] | Value-[1991-09-27]
Key-[490] | Value-[1991-09-28]
Key-[491] | Value-[1991-10-25]
Key-[492] | Value-[1991-12-15]
Key-[493] | Value-[1991842]
Key-[494] | Value-[1992-01-29]
Key-[495] | Value-[1992-02-21]
Key-[496] | Value-[1992-04-16]
Key-[497] | Value-[1992-05-11]
Key-[498] | Value-[1992-05-13]
Key-[499] | Value-[1992-06-22]
Key-[500] | Value-[1992-07-25]
Key-[501] | Value-[1992-08-23]
Key-[502] | Value-[1992-10-28]
Key-[503] | Value-[1992-12-14]
Key-[504] | Value-[1992-12-24]
Key-[505] | Value-[1993-02-11]
Key-[506] | Value-[1993-04-27]
Key-[507] | Value-[1993-04-29]
Key-[508] | Value-[1993-05-26]
Key-[509] | Value-[1993-05-29]
Key-[510] | Value-[1993-05-31]
Key-[511] | Value-[1993-10-04]
Key-[512] | Value-[1993-10-07]
Key-[513] | Value-[1993-10-21]
Key-[514] | Value-[1993-10-23]
Key-[515] | Value-[1993-11-01]
Key-[516] | Value-[1993-11-05]
Key-[517] | Value-[1993-11-26]
Key-[518] | Value-[1994-01-08]
Key-[519] | Value-[1994-02-14]
Key-[520] | Value-[1994-03-26]
Key-[521] | Value-[1994-05-25]
Key-[522] | Value-[1994-06-05]
Key-[523] | Value-[1994-10-15]
Key-[524] | Value-[1994-10-23]
Key-[525] | Value-[1994-11-07]
Key-[526] | Value-[1994-11-17]
Key-[527] | Value-[1995-04-01]
Key-[528] | Value-[1995-04-15]
Key-[529] | Value-[1995-05-08]
Key-[530] | Value-[1995-05-25]
Key-[531] | Value-[1995-06-07]
Key-[532] | Value-[1995-08-10]
Key-[533] | Value-[1995-08-22]
Key-[534] | Value-[1995-09-06]
Key-[535] | Value-[1995-09-07]
Key-[536] | Value-[1995-09-12]
Key-[537] | Value-[1995-09-21]
Key-[538] | Value-[1995-09-22]
Key-[539] | Value-[1995-10-11]
Key-[540] | Value-[1995-10-26]
Key-[541] | Value-[1995-12-06]
Key-[542] | Value-[1995-12-23]
Key-[543] | Value-[1996]
Key-[544] | Value-[1996-01-15]
Key-[545] | Value-[1996-02-26]
Key-[546] | Value-[1996-06-20]
Key-[547] | Value-[1996-09-22]
Key-[548] | Value-[1996-10-01]
Key-[549] | Value-[1996-10-25]
Key-[550] | Value-[1996-12-14]
Key-[551] | Value-[1996-12-20]
Key-[552] | Value-[1997-01-18]
Key-[553] | Value-[1997-02-18]
Key-[554] | Value-[1997-04-03]
Key-[555] | Value-[1997-04-20]
Key-[556] | Value-[1997-06-10]
Key-[557] | Value-[1997-07-20]
Key-[558] | Value-[1997-07-24]
Key-[559] | Value-[1997-12-26]
Key-[560] | Value-[1997668]
Key-[561] | Value-[1998]
Key-[562] | Value-[1998-01-05]
Key-[563] | Value-[1998-03-19]
Key-[564] | Value-[1998-03-26]
Key-[565] | Value-[19989572]
Key-[566] | Value-[1999-01-01]
Key-[567] | Value-[1999-02-01]
Key-[568] | Value-[1999-03-19]
Key-[569] | Value-[1999-05-12]
Key-[570] | Value-[1999-05-26]
Key-[571] | Value-[1999-07-29]
Key-[572] | Value-[1999-08-07]
Key-[573] | Value-[1999-08-21]
Key-[574] | Value-[1999-11-14]
Key-[575] | Value-[1999-11-21]
Key-[576] | Value-[1999-12-01]
Key-[577] | Value-[2]
Key-[578] | Value-[20]
Key-[579] | Value-[200]
Key-[580] | Value-[2000-03-18]
Key-[581] | Value-[2001-01-13]
Key-[582] | Value-[2002]
Key-[583] | Value-[2004295]
Key-[584] | Value-[2006]
Key-[585] | Value-[2007-06-17]
Key-[586] | Value-[2008-02-13]
Key-[587] | Value-[2009-11-16]
Key-[588] | Value-[201]
Key-[589] | Value-[2011-04-02]
Key-[590] | Value-[2011085]
Key-[591] | Value-[2012-01-01]
Key-[592] | Value-[2012-01-03]
Key-[593] | Value-[2012-01-04]
Key-[594] | Value-[2012-01-05]
Key-[595] | Value-[2012-01-06]
Key-[596] | Value-[2012-01-07]
Key-[597] | Value-[2012-01-09]
Key-[598] | Value-[2012-01-10]
Key-[599] | Value-[2012-01-11]
Key-[600] | Value-[2012-01-12]
Key-[601] | Value-[2012-01-13]
Key-[602] | Value-[2012-01-14]
Key-[603] | Value-[2012-01-15]
Key-[604] | Value-[2012-01-16]
Key-[605] | Value-[2012-01-17]
Key-[606] | Value-[2012-01-18]
Key-[607] | Value-[2012-01-19]
Key-[608] | Value-[2012-01-20]
Key-[609] | Value-[2012-01-22]
Key-[610] | Value-[2012-01-23]
Key-[611] | Value-[2012-01-26]
Key-[612] | Value-[2012-01-27]
Key-[613] | Value-[2012-01-28]
Key-[614] | Value-[2012-01-29]
Key-[615] | Value-[2012-01-31]
Key-[616] | Value-[2012-02-01]
Key-[617] | Value-[2012-02-02]
Key-[618] | Value-[2012-02-04]
Key-[619] | Value-[2012-02-06]
Key-[620] | Value-[2012-02-07]
Key-[621] | Value-[2012-02-08]
Key-[622] | Value-[2012-02-13]
Key-[623] | Value-[2012-02-16]
Key-[624] | Value-[2012-02-19]
Key-[625] | Value-[2012-02-20]
Key-[626] | Value-[2012-02-21]
Key-[627] | Value-[2012-02-22]
Key-[628] | Value-[2012-02-23]
Key-[629] | Value-[2012-02-25]
Key-[630] | Value-[2012-02-26]
Key-[631] | Value-[2012-02-27]
Key-[632] | Value-[2012-02-28]
Key-[633] | Value-[2012-02-29]
Key-[634] | Value-[2012-03-01]
Key-[635] | Value-[2012-03-02]
Key-[636] | Value-[2012-03-04]
Key-[637] | Value-[2012-03-05]
Key-[638] | Value-[2012-03-07]
Key-[639] | Value-[2012-03-09]
Key-[640] | Value-[2012-03-12]
Key-[641] | Value-[2012-03-13]
Key-[642] | Value-[2012-03-15]
Key-[643] | Value-[2012-03-16]
Key-[644] | Value-[2012-03-18]
Key-[645] | Value-[2012-03-19]
Key-[646] | Value-[2012-03-20]
Key-[647] | Value-[2012-03-21]
Key-[648] | Value-[2012-03-22]
Key-[649] | Value-[2012-03-23]
Key-[650] | Value-[2012-03-25]
Key-[651] | Value-[2012-03-27]
Key-[652] | Value-[2012-03-28]
Key-[653] | Value-[2012-03-29]
Key-[654] | Value-[2012-03-30]
Key-[655] | Value-[2012-03-31]
Key-[656] | Value-[2012-04-01]
Key-[657] | Value-[2012-04-02]
Key-[658] | Value-[2012-04-03]
Key-[659] | Value-[2012-04-04]
Key-[660] | Value-[2012-04-05]
Key-[661] | Value-[2012-04-06]
Key-[662] | Value-[2012-04-08]
Key-[663] | Value-[2012-04-09]
Key-[664] | Value-[2012-04-10]
Key-[665] | Value-[2012-04-11]
Key-[666] | Value-[2012-04-12]
Key-[667] | Value-[2012-04-15]
Key-[668] | Value-[2012-04-16]
Key-[669] | Value-[2012-04-18]
Key-[670] | Value-[2012-04-20]
Key-[671] | Value-[2012-04-21]
Key-[672] | Value-[2012-04-22]
Key-[673] | Value-[2012-04-24]
Key-[674] | Value-[2012-04-25]
Key-[675] | Value-[2012-04-27]
Key-[676] | Value-[2012-04-28]
Key-[677] | Value-[2012-04-29]
Key-[678] | Value-[2012-04-30]
Key-[679] | Value-[2012-05-02]
Key-[680] | Value-[2012-05-04]
Key-[681] | Value-[2012-05-06]
Key-[682] | Value-[2012-05-07]
Key-[683] | Value-[2012-05-10]
Key-[684] | Value-[2012-05-11]
Key-[685] | Value-[2012-05-12]
Key-[686] | Value-[2012-05-14]
Key-[687] | Value-[2012-05-16]
Key-[688] | Value-[2012-05-17]
Key-[689] | Value-[2012-05-18]
Key-[690] | Value-[2012-05-19]
Key-[691] | Value-[2012-05-20]
Key-[692] | Value-[2012-05-21]
Key-[693] | Value-[2012-05-22]
Key-[694] | Value-[2012-05-23]
Key-[695] | Value-[2012-05-24]
Key-[696] | Value-[2012-05-25]
Key-[697] | Value-[2012-05-26]
Key-[698] | Value-[2012-05-28]
Key-[699] | Value-[2012-05-29]
Key-[700] | Value-[2012-06-02]
Key-[701] | Value-[2012-06-03]
Key-[702] | Value-[2012-06-04]
Key-[703] | Value-[2012-06-06]
Key-[704] | Value-[2012-06-07]
Key-[705] | Value-[2012-06-08]
Key-[706] | Value-[2012-06-11]
Key-[707] | Value-[2012-06-12]
Key-[708] | Value-[2012-06-13]
Key-[709] | Value-[2012-06-15]
Key-[710] | Value-[2012-06-17]
Key-[711] | Value-[2012-06-19]
Key-[712] | Value-[2012-06-20]
Key-[713] | Value-[2012-06-22]
Key-[714] | Value-[2012-06-23]
Key-[715] | Value-[2012-06-24]
Key-[716] | Value-[2012-06-25]
Key-[717] | Value-[2012-06-26]
Key-[718] | Value-[2012-06-28]
Key-[719] | Value-[2012-06-30]
Key-[720] | Value-[2012-07-01]
Key-[721] | Value-[2012-07-02]
Key-[722] | Value-[2012-07-04]
Key-[723] | Value-[2012-07-05]
Key-[724] | Value-[2012-07-06]
Key-[725] | Value-[2012-07-07]
Key-[726] | Value-[2012-07-09]
Key-[727] | Value-[2012-07-10]
Key-[728] | Value-[2012-07-13]
Key-[729] | Value-[2012-07-14]
Key-[730] | Value-[2012-07-15]
Key-[731] | Value-[2012-07-19]
Key-[732] | Value-[2012-07-20]
Key-[733] | Value-[2012-07-22]
Key-[734] | Value-[2012-07-23]
Key-[735] | Value-[2012-07-24]
Key-[736] | Value-[2012-07-26]
Key-[737] | Value-[2012-07-27]
Key-[738] | Value-[2012-07-28]
Key-[739] | Value-[2012-07-31]
Key-[740] | Value-[2012-08-01]
Key-[741] | Value-[2012-08-02]
Key-[742] | Value-[2012-08-03]
Key-[743] | Value-[2012-08-05]
Key-[744] | Value-[2012-08-06]
Key-[745] | Value-[2012-08-08]
Key-[746] | Value-[2012-08-09]
Key-[747] | Value-[2012-08-10]
Key-[748] | Value-[2012-08-11]
Key-[749] | Value-[2012-08-12]
Key-[750] | Value-[2012-08-14]
Key-[751] | Value-[2012-08-15]
Key-[752] | Value-[2012-08-18]
Key-[753] | Value-[2012-08-19]
Key-[754] | Value-[2012-08-20]
Key-[755] | Value-[2012-08-22]
Key-[756] | Value-[2012-08-25]
Key-[757] | Value-[2012-08-26]
Key-[758] | Value-[2012-08-29]
Key-[759] | Value-[2012-08-30]
Key-[760] | Value-[2012-08-31]
Key-[761] | Value-[2012-09-02]
Key-[762] | Value-[2012-09-03]
Key-[763] | Value-[2012-09-05]
Key-[764] | Value-[2012-09-07]
Key-[765] | Value-[2012-09-10]
Key-[766] | Value-[2012-09-14]
Key-[767] | Value-[2012-09-17]
Key-[768] | Value-[2012-09-18]
Key-[769] | Value-[2012-09-19]
Key-[770] | Value-[2012-09-20]
Key-[771] | Value-[2012-09-22]
Key-[772] | Value-[2012-09-23]
Key-[773] | Value-[2012-09-24]
Key-[774] | Value-[2012-09-25]
Key-[775] | Value-[2012-09-26]
Key-[776] | Value-[2012-09-28]
Key-[777] | Value-[2012-09-30]
Key-[778] | Value-[2012-10-01]
Key-[779] | Value-[2012-10-03]
Key-[780] | Value-[2012-10-04]
Key-[781] | Value-[2012-10-05]
Key-[782] | Value-[2012-10-09]
Key-[783] | Value-[2012-10-10]
Key-[784] | Value-[2012-10-12]
Key-[785] | Value-[2012-10-13]
Key-[786] | Value-[2012-10-15]
Key-[787] | Value-[2012-10-17]
Key-[788] | Value-[2012-10-19]
Key-[789] | Value-[2012-10-20]
Key-[790] | Value-[2012-10-21]
Key-[791] | Value-[2012-10-25]
Key-[792] | Value-[2012-10-26]
Key-[793] | Value-[2012-10-28]
Key-[794] | Value-[2012-10-29]
Key-[795] | Value-[2012-10-30]
Key-[796] | Value-[2012-10-31]
Key-[797] | Value-[2012-11-02]
Key-[798] | Value-[2012-11-05]
Key-[799] | Value-[2012-11-06]
Key-[800] | Value-[2012-11-07]
Key-[801] | Value-[2012-11-08]
Key-[802] | Value-[2012-11-09]
