Key-[0] | Value-[0]
Key-[1228490] | Value-[66]
Key-[123] | Value-[67]
Key-[1235620] | Value-[68]
Key-[124] | Value-[69]
Key-[125] | Value-[70]
Key-[12505782] | Value-[71]
Key-[126] | Value-[72]
Key-[1262966] | Value-[73]
Key-[127] | Value-[74]
Key-[128] | Value-[75]
Key-[12803887] | Value-[76]
Key-[12809916] | Value-[77]
Key-[1283308] | Value-[78]
Key-[1289809] | Value-[79]
Key-[129] | Value-[80]
Key-[1294] | Value-[81]
Key-[12984820] | Value-[82]
Key-[13] | Value-[83]
Key-[130] | Value-[84]
Key-[1304458] | Value-[85]
Key-[1309543] | Value-[86]
Key-[131] | Value-[87]
Key-[13129591] | Value-[88]
Key-[1318486] | Value-[89]
Key-[132] | Value-[90]
Key-[13200382] | Value-[91]
Key-[13213762] | Value-[92]
Key-[13221854] | Value-[93]
Key-[1324458] | Value-[94]
Key-[133] | Value-[95]
Key-[1338943] | Value-[96]
Key-[134] | Value-[97]
Key-[1340627] | Value-[98]
Key-[1344361] | Value-[99]
Key-[1347146] | Value-[100]
Key-[135] | Value-[101]
Key-[1354052] | Value-[102]
Key-[1357704] | Value-[103]
Key-[1359560] | Value-[104]
Key-[136] | Value-[105]
Key-[1364398] | Value-[106]
Key-[1365256] | Value-[107]
Key-[1367656] | Value-[108]
Key-[13699922] | Value-[109]
Key-[137] | Value-[110]
Key-[1371] | Value-[111]
Key-[1374497] | Value-[112]
Key-[13761536] | Value-[113]
Key-[1377780] | Value-[114]
Key-[1379610] | Value-[115]
Key-[138] | Value-[116]
Key-[13814978] | Value-[117]
Key-[139] | Value-[118]
Key-[1390312] | Value-[119]
Key-[13935440] | Value-[120]
Key-[14] | Value-[121]
Key-[140] | Value-[122]
Key-[1406506] | Value-[123]
Key-[14072500] | Value-[124]
Key-[1408694] | Value-[125]
Key-[141] | Value-[126]
Key-[14100659] | Value-[127]
Key-[14118871] | Value-[128]
Key-[14160497] | Value-[129]
Key-[142] | Value-[130]
Key-[1423562] | Value-[131]
Key-[143] | Value-[132]
Key-[14353438] | Value-[133]
Key-[144] | Value-[134]
Key-[14413654] | Value-[135]
Key-[1445903] | Value-[136]
Key-[1447654] | Value-[137]
Key-[145] | Value-[138]
Key-[14518994] | Value-[139]
Key-[1455408] | Value-[140]
Key-[146] | Value-[141]
Key-[14602401] | Value-[142]
Key-[1467063] | Value-[143]
Key-[1468333] | Value-[144]
Key-[147] | Value-[145]
Key-[1470740] | Value-[146]
Key-[1472731] | Value-[147]
Key-[14783565] | Value-[148]
Key-[148] | Value-[149]
Key-[1480035] | Value-[150]
Key-[14854204] | Value-[151]
Key-[149] | Value-[152]
Key-[15] | Value-[153]
Key-[1501778] | Value-[154]
Key-[1501969] | Value-[155]
Key-[1506436] | Value-[156]
Key-[151] | Value-[157]
Key-[15113272] | Value-[158]
Key-[1515] | Value-[159]
Key-[15152731] | Value-[160]
Key-[1517175] | Value-[161]
Key-[1519991] | Value-[162]
Key-[152] | Value-[163]
Key-[153] | Value-[164]
Key-[15350601] | Value-[165]
Key-[1538712] | Value-[166]
Key-[154] | Value-[167]
Key-[1543] | Value-[168]
Key-[155] | Value-[169]
Key-[1555303] | Value-[170]
Key-[15555634] | Value-[171]
Key-[1556839] | Value-[172]
Key-[156] | Value-[173]
Key-[15653895] | Value-[174]
Key-[15655875] | Value-[175]
Key-[1575050] | Value-[176]
Key-[15767037] | Value-[177]
Key-[15785318] | Value-[178]
Key-[158] | Value-[179]
Key-[1584435] | Value-[180]
Key-[1585745] | Value-[181]
Key-[1589699] | Value-[182]
Key-[159] | Value-[183]
Key-[15905885] | Value-[184]
Key-[15920620] | Value-[185]
Key-[15940] | Value-[186]
Key-[16] | Value-[187]
Key-[160] | Value-[188]
Key-[1603517] | Value-[189]
Key-[161] | Value-[190]
Key-[1612603] | Value-[191]
Key-[1615519] | Value-[192]
Key-[1617873] | Value-[193]
Key-[162] | Value-[194]
Key-[163] | Value-[195]
Key-[1632986] | Value-[196]
Key-[16367062] | Value-[197]
Key-[16379299] | Value-[198]
Key-[164] | Value-[199]
Key-[16423536] | Value-[200]
Key-[16449926] | Value-[201]
Key-[16453221] | Value-[202]
Key-[165] | Value-[203]
Key-[16502427] | Value-[204]
Key-[166] | Value-[205]
Key-[16636336] | Value-[206]
Key-[16636392] | Value-[207]
Key-[1666528] | Value-[208]
Key-[167] | Value-[209]
Key-[16702930] | Value-[210]
Key-[16769749] | Value-[211]
Key-[168] | Value-[212]
Key-[1681502] | Value-[213]
Key-[16826854] | Value-[214]
Key-[1684056] | Value-[215]
Key-[1685208] | Value-[216]
Key-[16889993] | Value-[217]
Key-[1689135] | Value-[218]
Key-[169] | Value-[219]
Key-[1691125] | Value-[220]
Key-[16912584] | Value-[221]
Key-[16921542] | Value-[222]
Key-[1694] | Value-[223]
Key-[1696852] | Value-[224]
Key-[17] | Value-[225]
Key-[170] | Value-[226]
Key-[1706441] | Value-[227]
Key-[171] | Value-[228]
Key-[17102358] | Value-[229]
Key-[1710464] | Value-[230]
Key-[1711219] | Value-[231]
Key-[17119638] | Value-[232]
Key-[17144285] | Value-[233]
Key-[17144694] | Value-[234]
Key-[1716281] | Value-[235]
Key-[172] | Value-[236]
Key-[17232497] | Value-[237]
Key-[1726218] | Value-[238]
Key-[17269931] | Value-[239]
Key-[1727398] | Value-[240]
Key-[173] | Value-[241]
Key-[17377163] | Value-[242]
Key-[17380259] | Value-[243]
Key-[174] | Value-[244]
Key-[17421257] | Value-[245]
Key-[17424255] | Value-[246]
Key-[1748085] | Value-[247]
Key-[175] | Value-[248]
Key-[17558208] | Value-[249]
Key-[176] | Value-[250]
Key-[1764034] | Value-[251]
Key-[17678173] | Value-[252]
Key-[17749513] | Value-[253]
Key-[178] | Value-[254]
Key-[17818] | Value-[255]
Key-[17820219] | Value-[256]
Key-[17850425] | Value-[257]
Key-[1787386] | Value-[258]
Key-[1789101] | Value-[259]
Key-[179] | Value-[260]
Key-[18] | Value-[261]
Key-[180] | Value-[262]
Key-[1806662] | Value-[263]
Key-[181] | Value-[264]
Key-[18123320] | Value-[265]
Key-[18151535] | Value-[266]
Key-[18179365] | Value-[267]
Key-[182] | Value-[268]
Key-[1826822] | Value-[269]
Key-[183] | Value-[270]
Key-[1833814] | Value-[271]
Key-[184] | Value-[272]
Key-[1843973] | Value-[273]
Key-[18441591] | Value-[274]
Key-[185] | Value-[275]
Key-[1850827] | Value-[276]
Key-[18512242] | Value-[277]
Key-[1856520] | Value-[278]
Key-[1857118] | Value-[279]
Key-[18578572] | Value-[280]
Key-[186] | Value-[281]
Key-[18641118] | Value-[282]
Key-[1866949] | Value-[283]
Key-[18684345] | Value-[284]
Key-[187] | Value-[285]
Key-[1870634] | Value-[286]
Key-[18728531] | Value-[287]
Key-[1873193] | Value-[288]
Key-[18766867] | Value-[289]
Key-[188] | Value-[290]
Key-[1881149] | Value-[291]
Key-[1882294] | Value-[292]
Key-[18836427] | Value-[293]
Key-[18887402] | Value-[294]
Key-[1888834] | Value-[295]
Key-[1890794] | Value-[296]
Key-[1893561] | Value-[297]
Key-[1893574] | Value-[298]
Key-[18956432] | Value-[299]
Key-[1898975] | Value-[300]
Key-[19] | Value-[301]
Key-[190] | Value-[302]
Key-[1905966] | Value-[303]
Key-[1907973] | Value-[304]
Key-[19160470] | Value-[305]
Key-[192] | Value-[306]
Key-[19204251] | Value-[307]
Key-[1928763] | Value-[308]
Key-[1929405] | Value-[309]
Key-[1929729] | Value-[310]
Key-[193] | Value-[311]
Key-[1935179] | Value-[312]
Key-[19368667] | Value-[313]
Key-[194] | Value-[314]
Key-[19445290] | Value-[315]
Key-[1949821] | Value-[316]
Key-[195] | Value-[317]
Key-[1951303] | Value-[318]
Key-[196] | Value-[319]
Key-[1961] | Value-[320]
Key-[1965218] | Value-[321]
Key-[1965910] | Value-[322]
Key-[197] | Value-[323]
Key-[1970-02-10] | Value-[324]
Key-[1970-02-15] | Value-[325]
Key-[1970-03-17] | Value-[326]
Key-[1970-05-18] | Value-[327]
Key-[1970-06-02] | Value-[328]
Key-[1970-06-16] | Value-[329]
Key-[1970-06-19] | Value-[330]
Key-[1970-06-24] | Value-[331]
Key-[1970-06-25] | Value-[332]
Key-[1970-08-14] | Value-[333]
Key-[1970-10-10] | Value-[334]
Key-[1970-12-27] | Value-[335]
Key-[1971-02-18] | Value-[336]
Key-[1971-03-27] | Value-[337]
Key-[1971-04-03] | Value-[338]
Key-[1971-07-09] | Value-[339]
Key-[1971-09-19] | Value-[340]
Key-[1971-10-16] | Value-[341]
Key-[1971-11-05] | Value-[342]
Key-[1971-11-08] | Value-[343]
Key-[1971-11-22] | Value-[344]
Key-[1972-04-02] | Value-[345]
Key-[1972-05-17] | Value-[346]
Key-[1972-10-31] | Value-[347]
Key-[1972-11-24] | Value-[348]
Key-[1973-03-16] | Value-[349]
Key-[1973-04-01] | Value-[350]
Key-[1973-04-07] | Value-[351]
Key-[1973-04-08] | Value-[352]
Key-[1973-05-09] | Value-[353]
Key-[1973-05-29] | Value-[354]
Key-[1973-06-17] | Value-[355]
Key-[1973-06-25] | Value-[356]
Key-[1973-10-05] | Value-[357]
Key-[1973-10-31] | Value-[358]
Key-[1973-12-02] | Value-[359]
Key-[1974] | Value-[360]
Key-[1974-03-27] | Value-[361]
Key-[1974-04-21] | Value-[362]
Key-[1974-08-31] | Value-[363]
Key-[1974-09-28] | Value-[364]
Key-[1974-10-03] | Value-[365]
Key-[1974-10-23] | Value-[366]
Key-[1974-10-31] | Value-[367]
Key-[1975-01-19] | Value-[368]
Key-[1975-02-04] | Value-[369]
Key-[1975-05-10] | Value-[370]
Key-[1975-06-25] | Value-[371]
Key-[1975-06-27] | Value-[372]
Key-[1975-07-07] | Value-[373]
Key-[1975-07-12] | Value-[374]
Key-[1975-08-24] | Value-[375]
Key-[1975-09-28] | Value-[376]
Key-[1975-09-29] | Value-[377]
Key-[19758136] | Value-[378]
Key-[1976-04-02] | Value-[379]
Key-[1976-05-13] | Value-[380]
Key-[1976-07-29] | Value-[381]
Key-[1976-08-31] | Value-[382]
Key-[1976-09-30] | Value-[383]
Key-[1976-11-23] | Value-[384]
Key-[1977-03-13] | Value-[385]
Key-[1977-04-06] | Value-[386]
Key-[1978-02-22] | Value-[387]
Key-[1978-04-27] | Value-[388]
Key-[1978-07-08] | Value-[389]
Key-[1978-07-09] | Value-[390]
Key-[1978-09-18] | Value-[391]
Key-[1978-10-29] | Value-[392]
Key-[1978-12-01] | Value-[393]
Key-[1978785] | Value-[394]
Key-[1979-01-25] | Value-[395]
Key-[1979-04-22] | Value-[396]
Key-[1979-07-01] | Value-[397]
Key-[1979-07-02] | Value-[398]
Key-[1979-08-25] | Value-[399]
Key-[1979-10-13] | Value-[400]
Key-[1979-11-08] | Value-[401]
Key-[198] | Value-[402]
Key-[1980-07-12] | Value-[403]
Key-[1980-12-03] | Value-[404]
Key-[19808905] | Value-[405]
Key-[1981-05-03] | Value-[406]
Key-[1981-07-17] | Value-[407]
Key-[1981-09-03] | Value-[408]
Key-[1981-09-07] | Value-[409]
Key-[1982-04-23] | Value-[410]
Key-[1982-05-30] | Value-[411]
Key-[1982-07-28] | Value-[412]
Key-[1982-07-31] | Value-[413]
Key-[1982-10-15] | Value-[414]
Key-[1983-02-25] | Value-[415]
Key-[1983-03-18] | Value-[416]
Key-[1983-03-19] | Value-[417]
Key-[1983-03-29] | Value-[418]
Key-[1983-06-14] | Value-[419]
Key-[1983-06-26] | Value-[420]
Key-[1983-09-24] | Value-[421]
Key-[1983-09-25] | Value-[422]
Key-[1983-11-15] | Value-[423]
Key-[1983-12-07] | Value-[424]
Key-[1984-01-17] | Value-[425]
Key-[1984-01-20] | Value-[426]
Key-[1984-02-01] | Value-[427]
Key-[1984-02-27] | Value-[428]
Key-[1984-04-06] | Value-[429]
Key-[1984-06-16] | Value-[430]
Key-[1984-07-08] | Value-[431]
Key-[1984-07-27] | Value-[432]
Key-[1984-08-29] | Value-[433]
Key-[1984-09-09] | Value-[434]
Key-[1984-10-08] | Value-[435]
Key-[1984-12-23] | Value-[436]
Key-[1984077] | Value-[437]
Key-[1985-05-16] | Value-[438]
Key-[1985-06-04] | Value-[439]
Key-[1985-06-10] | Value-[440]
Key-[1985-07-08] | Value-[441]
Key-[1985-09-03] | Value-[442]
Key-[1986-01-06] | Value-[443]
Key-[1986-01-14] | Value-[444]
Key-[1986-03-22] | Value-[445]
Key-[1986-03-25] | Value-[446]
Key-[1986-05-06] | Value-[447]
Key-[1986-06-14] | Value-[448]
Key-[1986-10-09] | Value-[449]
Key-[1986-12-19] | Value-[450]
Key-[1986-12-27] | Value-[451]
Key-[1987-01-26] | Value-[452]
Key-[1987-03-02] | Value-[453]
Key-[1987-03-20] | Value-[454]
Key-[1987-08-04] | Value-[455]
Key-[1987-10-02] | Value-[456]
Key-[1987-10-21] | Value-[457]
Key-[1987-12-11] | Value-[458]
Key-[1988-03-11] | Value-[459]
Key-[1988-05-30] | Value-[460]
Key-[1988-06-27] | Value-[461]
Key-[1988-09-24] | Value-[462]
Key-[1988-10-27] | Value-[463]
Key-[1988-11-23] | Value-[464]
Key-[1989-02-02] | Value-[465]
Key-[1989-04-18] | Value-[466]
Key-[1989-04-22] | Value-[467]
Key-[1989-05-11] | Value-[468]
Key-[1989-05-28] | Value-[469]
Key-[1989-06-04] | Value-[470]
Key-[1989-06-06] | Value-[471]
Key-[1989-06-15] | Value-[472]
Key-[1989-12-09] | Value-[473]
Key-[1989-12-11] | Value-[474]
Key-[199] | Value-[475]
Key-[1990-02-13] | Value-[476]
Key-[1990-02-14] | Value-[477]
Key-[1990-04-30] | Value-[478]
Key-[1990-06-13] | Value-[479]
Key-[1990-07-11] | Value-[480]
Key-[1990-08-26] | Value-[481]
Key-[1990-11-05] | Value-[482]
Key-[1990-12-16] | Value-[483]
Key-[1990561] | Value-[484]
Key-[1990768] | Value-[485]
Key-[1991-01-19] | Value-[486]
Key-[1991-05-28] | Value-[487]
Key-[1991-06-24] | Value-[488]
Key-[1991-09-27] | Value-[489]
Key-[1991-09-28] | Value-[490]
Key-[1991-10-25] | Value-[491]
Key-[1991-12-15] | Value-[492]
Key-[1991842] | Value-[493]
Key-[1992-01-29] | Value-[494]
Key-[1992-02-21] | Value-[495]
Key-[1992-04-16] | Value-[496]
Key-[1992-05-11] | Value-[497]
Key-[1992-05-13] | Value-[498]
Key-[1992-06-22] | Value-[499]
Key-[1992-07-25] | Value-[500]
Key-[1992-08-23] | Value-[501]
Key-[1992-10-28] | Value-[502]
Key-[1992-12-14] | Value-[503]
Key-[1992-12-24] | Value-[504]
Key-[1993-02-11] | Value-[505]
Key-[1993-04-27] | Value-[506]
Key-[1993-04-29] | Value-[507]
Key-[1993-05-26] | Value-[508]
Key-[1993-05-29] | Value-[509]
Key-[1993-05-31] | Value-[510]
Key-[1993-10-04] | Value-[511]
Key-[1993-10-07] | Value-[512]
Key-[1993-10-21] | Value-[513]
Key-[1993-10-23] | Value-[514]
Key-[1993-11-01] | Value-[515]
Key-[1993-11-05] | Value-[516]
Key-[1993-11-26] | Value-[517]
Key-[1994-01-08] | Value-[518]
Key-[1994-02-14] | Value-[519]
Key-[1994-03-26] | Value-[520]
Key-[1994-05-25] | Value-[521]
Key-[1994-06-05] | Value-[522]
Key-[1994-10-15] | Value-[523]
Key-[1994-10-23] | Value-[524]
Key-[1994-11-07] | Value-[525]
Key-[1994-11-17] | Value-[526]
Key-[1995-04-01] | Value-[527]
Key-[1995-04-15] | Value-[528]
Key-[1995-05-08] | Value-[529]
Key-[1995-05-25] | Value-[530]
Key-[1995-06-07] | Value-[531]
Key-[1995-08-10] | Value-[532]
Key-[1995-08-22] | Value-[533]
Key-[1995-09-06] | Value-[534]
Key-[1995-09-07] | Value-[535]
Key-[1995-09-12] | Value-[536]
Key-[1995-09-21] | Value-[537]
Key-[1995-09-22] | Value-[538]
Key-[1995-10-11] | Value-[539]
Key-[1995-10-26] | Value-[540]
Key-[1995-12-06] | Value-[541]
Key-[1995-12-23] | Value-[542]
Key-[1996] | Value-[543]
Key-[1996-01-15] | Value-[544]
Key-[1996-02-26] | Value-[545]
Key-[1996-06-20] | Value-[546]
Key-[1996-09-22] | Value-[547]
Key-[1996-10-01] | Value-[548]
Key-[1996-10-25] | Value-[549]
Key-[1996-12-14] | Value-[550]
Key-[1996-12-20] | Value-[551]
Key-[1997-01-18] | Value-[552]
Key-[1997-02-18] | Value-[553]
Key-[1997-04-03] | Value-[554]
Key-[1997-04-20] | Value-[555]
Key-[1997-06-10] | Value-[556]
Key-[1997-07-20] | Value-[557]
Key-[1997-07-24] | Value-[558]
Key-[1997-12-26] | Value-[559]
Key-[1997668] | Value-[560]
Key-[1998] | Value-[561]
Key-[1998-01-05] | Value-[562]
Key-[1998-03-19] | Value-[563]
Key-[1998-03-26] | Value-[564]
Key-[19989572] | Value-[565]
Key-[1999-01-01] | Value-[566]
Key-[1999-02-01] | Value-[567]
Key-[1999-03-19] | Value-[568]
Key-[1999-05-12] | Value-[569]
Key-[1999-05-26] | Value-[570]
Key-[1999-07-29] | Value-[571]
Key-[1999-08-07] | Value-[572]
Key-[1999-08-21] | Value-[573]
Key-[1999-11-14] | Value-[574]
Key-[1999-11-21] | Value-[575]
Key-[1999-12-01] | Value-[576]
Key-[2] | Value-[577]
Key-[20] | Value-[578]
Key-[200] | Value-[579]
Key-[2000-03-18] | Value-[580]
Key-[2001-01-13] | Value-[581]
Key-[2002] | Value-[582]
Key-[2004295] | Value-[583]
Key-[2006] | Value-[584]
Key-[2007-06-17] | Value-[585]
Key-[2008-02-13] | Value-[586]
Key-[2009-11-16] | Value-[587]
Key-[201] | Value-[588]
Key-[2011-04-02] | Value-[589]
Key-[2011085] | Value-[590]
Key-[2012-01-01] | Value-[591]
Key-[2012-01-03] | Value-[592]
Key-[2012-01-04] | Value-[593]
Key-[2012-01-05] | Value-[594]
Key-[2012-01-06] | Value-[595]
Key-[2012-01-07] | Value-[596]
Key-[2012-01-09] | Value-[597]
Key-[2012-01-10] | Value-[598]
Key-[2012-01-11] | Value-[599]
Key-[2012-01-12] | Value-[600]
Key-[2012-01-13] | Value-[601]
Key-[2012-01-14] | Value-[602]
Key-[2012-01-15] | Value-[603]
Key-[2012-01-16] | Value-[604]
Key-[2012-01-17] | Value-[605]
Key-[2012-01-18] | Value-[606]
Key-[2012-01-19] | Value-[607]
Key-[2012-01-20] | Value-[608]
Key-[2012-01-22] | Value-[609]
Key-[2012-01-23] | Value-[610]
Key-[2012-01-26] | Value-[611]
Key-[2012-01-27] | Value-[612]
Key-[2012-01-28] | Value-[613]
Key-[2012-01-29] | Value-[614]
Key-[2012-01-31] | Value-[615]
Key-[2012-02-01] | Value-[616]
Key-[2012-02-02] | Value-[617]
Key-[2012-02-04] | Value-[618]
Key-[2012-02-06] | Value-[619]
Key-[2012-02-07] | Value-[620]
Key-[2012-02-08] | Value-[621]
Key-[2012-02-13] | Value-[622]
Key-[2012-02-16] | Value-[623]
Key-[2012-02-19] | Value-[624]
Key-[2012-02-20] | Value-[625]
Key-[2012-02-21] | Value-[626]
Key-[2012-02-22] | Value-[627]
Key-[2012-02-23] | Value-[628]
Key-[2012-02-25] | Value-[629]
Key-[2012-02-26] | Value-[630]
Key-[2012-02-27] | Value-[631]
Key-[2012-02-28] | Value-[632]
Key-[2012-02-29] | Value-[633]
Key-[2012-03-01] | Value-[634]
Key-[2012-03-02] | Value-[635]
Key-[2012-03-04] | Value-[636]
Key-[2012-03-05] | Value-[637]
Key-[2012-03-07] | Value-[638]
Key-[2012-03-09] | Value-[639]
Key-[2012-03-12] | Value-[640]
Key-[2012-03-13] | Value-[641]
Key-[2012-03-15] | Value-[642]
Key-[2012-03-16] | Value-[643]
Key-[2012-03-18] | Value-[644]
Key-[2012-03-19] | Value-[645]
Key-[2012-03-20] | Value-[646]
Key-[2012-03-21] | Value-[647]
Key-[2012-03-22] | Value-[648]
Key-[2012-03-23] | Value-[649]
Key-[2012-03-25] | Value-[650]
Key-[2012-03-27] | Value-[651]
Key-[2012-03-28] | Value-[652]
Key-[2012-03-29] | Value-[653]
Key-[2012-03-30] | Value-[654]
Key-[2012-03-31] | Value-[655]
Key-[2012-04-01] | Value-[656]
Key-[2012-04-02] | Value-[657]
Key-[2012-04-03] | Value-[658]
Key-[2012-04-04] | Value-[659]
Key-[2012-04-05] | Value-[660]
Key-[2012-04-06] | Value-[661]
Key-[2012-04-08] | Value-[662]
Key-[2012-04-09] | Value-[663]
Key-[2012-04-10] | Value-[664]
Key-[2012-04-11] | Value-[665]
Key-[2012-04-12] | Value-[666]
Key-[2012-04-15] | Value-[667]
Key-[2012-04-16] | Value-[668]
Key-[2012-04-18] | Value-[669]
Key-[2012-04-20] | Value-[670]
Key-[2012-04-21] | Value-[671]
Key-[2012-04-22] | Value-[672]
Key-[2012-04-24] | Value-[673]
Key-[2012-04-25] | Value-[674]
Key-[2012-04-27] | Value-[675]
Key-[2012-04-28] | Value-[676]
Key-[2012-04-29] | Value-[677]
Key-[2012-04-30] | Value-[678]
Key-[2012-05-02] | Value-[679]
Key-[2012-05-04] | Value-[680]
Key-[2012-05-06] | Value-[681]
Key-[2012-05-07] | Value-[682]
Key-[2012-05-10] | Value-[683]
Key-[2012-05-11] | Value-[684]
Key-[2012-05-12] | Value-[685]
Key-[2012-05-14] | Value-[686]
Key-[2012-05-16] | Value-[687]
Key-[2012-05-17] | Value-[688]
Key-[2012-05-18] | Value-[689]
Key-[2012-05-19] | Value-[690]
Key-[2012-05-20] | Value-[691]
Key-[2012-05-21] | Value-[692]
Key-[2012-05-22] | Value-[693]
Key-[2012-05-23] | Value-[694]
Key-[2012-05-24] | Value-[695]
Key-[2012-05-25] | Value-[696]
Key-[2012-05-26] | Value-[697]
Key-[2012-05-28] | Value-[698]
Key-[2012-05-29] | Value-[699]
Key-[2012-06-02] | Value-[700]
Key-[2012-06-03] | Value-[701]
Key-[2012-06-04] | Value-[702]
Key-[2012-06-06] | Value-[703]
Key-[2012-06-07] | Value-[704]
Key-[2012-06-08] | Value-[705]
Key-[2012-06-11] | Value-[706]
Key-[2012-06-12] | Value-[707]
Key-[2012-06-13] | Value-[708]
Key-[2012-06-15] | Value-[709]
Key-[2012-06-17] | Value-[710]
Key-[2012-06-19] | Value-[711]
Key-[2012-06-20] | Value-[712]
Key-[2012-06-22] | Value-[713]
Key-[2012-06-23] | Value-[714]
Key-[2012-06-24] | Value-[715]
Key-[2012-06-25] | Value-[716]
Key-[2012-06-26] | Value-[717]
Key-[2012-06-28] | Value-[718]
Key-[2012-06-30] | Value-[719]
Key-[2012-07-01] | Value-[720]
Key-[2012-07-02] | Value-[721]
Key-[2012-07-04] | Value-[722]
Key-[2012-07-05] | Value-[723]
Key-[2012-07-06] | Value-[724]
Key-[2012-07-07] | Value-[725]
Key-[2012-07-09] | Value-[726]
Key-[2012-07-10] | Value-[727]
Key-[2012-07-13] | Value-[728]
Key-[2012-07-14] | Value-[729]
Key-[2012-07-15] | Value-[730]
Key-[2012-07-19] | Value-[731]
Key-[2012-07-20] | Value-[732]
Key-[2012-07-22] | Value-[733]
Key-[2012-07-23] | Value-[734]
Key-[2012-07-24] | Value-[735]
Key-[2012-07-26] | Value-[736]
Key-[2012-07-27] | Value-[737]
Key-[2012-07-28] | Value-[738]
Key-[2012-07-31] | Value-[739]
Key-[2012-08-01] | Value-[740]
Key-[2012-08-02] | Value-[741]
Key-[2012-08-03] | Value-[742]
Key-[2012-08-05] | Value-[743]
Key-[2012-08-06] | Value-[744]
Key-[2012-08-08] | Value-[745]
Key-[2012-08-09] | Value-[746]
Key-[2012-08-10] | Value-[747]
Key-[2012-08-11] | Value-[748]
Key-[2012-08-12] | Value-[749]
Key-[2012-08-14] | Value-[750]
Key-[2012-08-15] | Value-[751]
Key-[2012-08-18] | Value-[752]
Key-[2012-08-19] | Value-[753]
Key-[2012-08-20] | Value-[754]
Key-[2012-08-22] | Value-[755]
Key-[2012-08-25] | Value-[756]
Key-[2012-08-26] | Value-[757]
Key-[2012-08-29] | Value-[758]
Key-[2012-08-30] | Value-[759]
Key-[2012-08-31] | Value-[760]
Key-[2012-09-02] | Value-[761]
Key-[2012-09-03] | Value-[762]
Key-[2012-09-05] | Value-[763]
Key-[2012-09-07] | Value-[764]
Key-[2012-09-10] | Value-[765]
Key-[2012-09-14] | Value-[766]
Key-[2012-09-17] | Value-[767]
Key-[2012-09-18] | Value-[768]
Key-[2012-09-19] | Value-[769]
Key-[2012-09-20] | Value-[770]
Key-[2012-09-22] | Value-[771]
Key-[2012-09-23] | Value-[772]
Key-[2012-09-24] | Value-[773]
Key-[2012-09-25] | Value-[774]
Key-[2012-09-26] | Value-[775]
Key-[2012-09-28] | Value-[776]
Key-[2012-09-30] | Value-[777]
Key-[2012-10-01] | Value-[778]
Key-[2012-10-03] | Value-[779]
Key-[2012-10-04] | Value-[780]
Key-[2012-10-05] | Value-[781]
Key-[2012-10-09] | Value-[782]
Key-[2012-10-10] | Value-[783]
Key-[2012-10-12] | Value-[784]
Key-[2012-10-13] | Value-[785]
Key-[2012-10-15] | Value-[786]
Key-[2012-10-17] | Value-[787]
Key-[2012-10-19] | Value-[788]
Key-[2012-10-20] | Value-[789]
Key-[2012-10-21] | Value-[790]
Key-[2012-10-25] | Value-[791]
Key-[2012-10-26] | Value-[792]
Key-[2012-10-28] | Value-[793]
Key-[2012-10-29] | Value-[794]
Key-[2012-10-30] | Value-[795]
Key-[2012-10-31] | Value-[796]
Key-[2012-11-02] | Value-[797]
Key-[2012-11-05] | Value-[798]
Key-[2012-11-06] | Value-[799]
Key-[2012-11-07] | Value-[800]
Key-[2012-11-08] | Value-[801]
Key-[2012-11-09] | Value-[802]
